Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	3047.6002777777776	0.0	0.0	0.0
1	2947.9205555555554	0.0	0.0	0.0
2	2883.5094444444444	0.0	0.0	0.0
3	2845.724166666667	0.0	0.0	0.0
4	2858.646388888889	0.0	0.0	0.0
5	2823.801111111111	0.0	0.0	0.0
6	2815.4538888888887	0.0	0.0	0.0
7	2817.931666666667	0.0	0.0	0.0
8	2819.6655555555553	0.0	0.0	0.0
9	2816.030277777778	0.0	0.0	0.0
10	2785.813611111111	0.0	0.0	0.0
11	2779.7530555555554	0.0	0.0	0.0
12	2770.430277777778	0.0	0.0	0.0
13	2771.575	0.0	0.0	0.0
14	2745.0844444444447	0.0	0.0	0.0
15	2753.307222222222	0.0	0.0	0.0
16	2741.7883333333334	0.0	0.0	0.0
17	2747.108333333333	0.0	0.0	0.0
18	2731.0358333333334	0.0	0.0	0.0
19	2737.9583333333335	0.0	0.0	0.0
20	2743.9430555555555	0.0	0.0	0.0
21	2752.3880555555556	0.0	0.0	0.0
22	2745.682222222222	0.0	0.0	0.0
23	2723.3552777777777	0.0	0.0	0.0
24	2743.219722222222	0.0	0.0	0.0
25	2744.534722222222	0.0	0.0	0.0
26	2743.5530555555556	0.0	0.0	0.0
27	2721.741111111111	0.0	0.0	0.0
28	2711.7533333333336	0.0	0.0	0.0
29	2703.0808333333334	0.0	0.0	0.0
30	2714.2463888888888	0.0	0.0	0.0
31	2727.3722222222223	0.0	0.0	0.0
32	2741.0222222222224	0.0	0.0	0.0
33	2716.2033333333334	0.0	0.0	0.0
34	2727.5569444444445	0.0	0.0	0.0
35	2737.686388888889	0.0	0.0	0.0
36	2712.408611111111	0.0	0.0	0.0
37	2722.0194444444446	0.0	0.0	0.0
38	2716.947777777778	0.0	0.0	0.0
39	2722.7533333333336	0.0	0.0	0.0
40	2709.8444444444444	0.0	0.0	0.0
41	2708.5375	0.0	0.0	0.0
42	2711.7747222222224	0.0	0.0	0.0
43	2724.6447222222223	0.0	0.0	0.0
44	2723.1041666666665	0.0	0.0	0.0
45	2687.8005555555555	0.0	0.0	0.0
46	2674.8777777777777	0.0	0.0	0.0
47	2704.867777777778	0.0	0.0	0.0
48	2699.7330555555554	0.0	0.0	0.0
49	2707.0405555555553	0.0	0.0	0.0
