Iteration	car
0	10396.0
1	10552.0
2	10644.0
3	10656.0
4	10724.0
5	10776.0
6	10804.0
7	10900.0
8	10884.0
9	10868.0
10	10860.0
11	10900.0
12	10868.0
13	10892.0
14	10912.0
15	10884.0
16	10892.0
17	10832.0
18	10912.0
19	10908.0
20	10908.0
21	10956.0
22	10928.0
23	10920.0
24	10956.0
25	10940.0
26	10928.0
27	10884.0
28	10808.0
29	10852.0
30	10848.0
31	10820.0
32	10880.0
33	10816.0
34	10860.0
35	10888.0
36	10904.0
37	10920.0
38	10840.0
39	10876.0
40	10880.0
41	10884.0
42	10892.0
43	10876.0
44	10912.0
45	10904.0
46	10888.0
47	10848.0
48	10836.0
49	10872.0
50	10840.0
51	10876.0
52	10832.0
53	10876.0
54	10880.0
55	10912.0
56	10900.0
57	10916.0
58	10884.0
59	10864.0
60	10844.0
61	10892.0
62	10864.0
63	10836.0
64	10912.0
65	10856.0
66	10824.0
67	10920.0
68	10944.0
69	10892.0
70	10852.0
71	10872.0
72	10872.0
73	10872.0
74	10888.0
75	10872.0
76	10936.0
77	10896.0
78	10864.0
79	10836.0
80	10824.0
81	10900.0
82	10908.0
83	10884.0
84	10892.0
85	10896.0
86	10916.0
87	10872.0
88	10908.0
89	10860.0
90	10844.0
91	10848.0
92	10880.0
93	10916.0
94	10904.0
95	10812.0
96	10820.0
97	10820.0
98	10788.0
99	10800.0
100	10788.0
101	10844.0
102	10804.0
103	10808.0
104	10812.0
105	10792.0
106	10816.0
107	10844.0
108	10796.0
109	10864.0
110	10896.0
111	10888.0
112	10960.0
113	10896.0
114	10948.0
115	10856.0
116	10888.0
117	10860.0
118	10872.0
119	10836.0
120	10860.0
121	10820.0
122	10828.0
123	10872.0
124	10896.0
125	10880.0
126	10884.0
127	10868.0
128	10900.0
129	10864.0
130	10832.0
131	10876.0
132	10864.0
133	10896.0
134	10904.0
135	10840.0
136	10868.0
137	10848.0
138	10828.0
139	10840.0
140	10832.0
141	10908.0
142	10876.0
143	10904.0
144	10904.0
145	10900.0
146	10840.0
147	10876.0
148	10932.0
149	10892.0
150	10876.0
151	10904.0
152	10856.0
153	10916.0
154	10912.0
155	10908.0
156	10844.0
157	10880.0
158	10816.0
159	10868.0
160	10852.0
161	10868.0
162	10880.0
163	10872.0
164	10832.0
165	10828.0
166	10896.0
167	10860.0
168	10848.0
169	10876.0
170	10816.0
171	10808.0
172	10820.0
173	10888.0
174	10880.0
175	10900.0
176	10872.0
177	10884.0
178	10916.0
179	10920.0
180	10936.0
181	10928.0
182	10928.0
183	10912.0
184	10884.0
185	10900.0
186	10828.0
187	10916.0
188	10888.0
189	10908.0
190	10844.0
191	10880.0
192	10888.0
193	10856.0
194	10860.0
195	10916.0
196	10936.0
197	10908.0
198	10904.0
199	10856.0
200	10856.0
201	10944.0
202	10956.0
203	10956.0
204	10860.0
205	10900.0
206	10856.0
207	10876.0
208	10880.0
209	10820.0
210	10776.0
211	10756.0
212	10832.0
213	10848.0
214	10860.0
215	10844.0
216	10868.0
217	10852.0
218	10816.0
219	10836.0
220	10868.0
221	10904.0
222	10876.0
223	10864.0
224	10884.0
225	10880.0
226	10916.0
227	10908.0
228	10912.0
229	10880.0
230	10856.0
231	10932.0
232	10852.0
233	10844.0
234	10904.0
235	10816.0
236	10924.0
237	10784.0
238	10900.0
239	10824.0
240	10824.0
241	10848.0
242	10872.0
243	10824.0
244	10836.0
245	10824.0
246	10852.0
247	10788.0
248	10836.0
249	10880.0
250	10804.0
251	10824.0
252	10824.0
253	10864.0
254	10812.0
255	10836.0
256	10860.0
257	10860.0
258	10828.0
259	10860.0
260	10884.0
261	10912.0
262	10912.0
263	10868.0
264	10928.0
265	10888.0
266	10860.0
267	10896.0
268	10876.0
269	10904.0
270	10868.0
271	10856.0
272	10916.0
273	10876.0
274	10916.0
275	10884.0
276	10868.0
277	10836.0
278	10896.0
279	10876.0
280	10916.0
281	10856.0
282	10852.0
283	10868.0
284	10820.0
285	10944.0
286	10932.0
287	10900.0
