ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-47.55299514712426	-47.55299514712426	-47.55299514712426	-47.55299514712426
1	-35.31941106481015	-43.009104218538525	-39.10785058975033	-35.20659696096221
2	-29.08520077305886	-39.505972497441384	-33.74303775237523	-28.050760852477392
3	-24.195220226269928	-37.74561642020037	-30.524029028175196	-23.69919846086713
4	-26.17304050535843	-39.87428307679162	-31.71157678800506	-23.907004654287203
5	-21.936874831657303	-37.93043028780855	-29.07122199469471	-20.84799862278776
6	-21.107163035420236	-38.62544186138395	-28.90018611848572	-19.986324776353673
7	-21.305158237769138	-40.0416591705765	-29.337576677176447	-19.52472857482607
8	-19.815474296946196	-39.991154065184574	-28.617961330004892	-18.188805471347596
9	-20.61091914844146	-41.765151954792266	-28.951336677142436	-17.201764815102738
10	-16.856050971985077	-41.73440491302907	-27.907204436220823	-15.073312941569109
11	-17.24230820381582	-42.68605564197401	-28.14965491723241	-15.123653101552126
12	-15.043811264119263	-42.79050476982568	-26.743024803609202	-11.979645070926903
13	-14.515195385159295	-43.783632616999945	-27.11211345123082	-11.806679070196239
14	-12.543063210357776	-44.339758758306914	-26.673313337421376	-10.387504847869915
15	-14.694937674276074	-46.29412120136766	-27.626414987918228	-10.092620079692761
16	-12.311151250637803	-47.21626251543476	-27.617343549086883	-9.99014340971802
17	-11.63083654026131	-47.224304646336584	-27.272396270603526	-9.449983689130006
18	-10.310656101470308	-47.11069204477314	-26.48315845855099	-8.45037098356027
19	-11.183126391792742	-47.45719063415101	-26.46526713313649	-8.021302508104638
20	-13.218737362945733	-48.6144725042873	-27.6683482113334	-8.59019739768942
21	-11.033474358279731	-49.08912604014563	-27.333701586056034	-7.818014742943152
22	-11.74692998996854	-50.23110008122898	-28.040885306816637	-8.748898295267985
23	-8.469782354197575	-49.76766813482956	-27.250073061182196	-7.446147429921446
24	-10.734348143160776	-50.45699253871102	-27.70483626946131	-7.598843823684508
25	-11.100699605329432	-50.87346274187201	-28.15902863467349	-8.205462084837745
26	-11.47351651062345	-50.84691280294945	-28.47491198256126	-8.108519475118767
27	-9.716111214047704	-50.60113867099435	-27.982972823126875	-7.415369889095428
28	-8.151446872609727	-50.64590607848184	-27.392482478604816	-6.418005861375883
29	-7.0725862839883815	-50.52468627228623	-27.331749385416853	-5.5981966831863925
30	-8.441018676627273	-50.41892437493477	-26.879791296603766	-5.556525528832685
31	-9.433464040063765	-50.601705707121006	-27.41301744315304	-6.866794634065278
32	-9.726375775931585	-50.83412083943611	-27.651068908255656	-7.107037163637816
33	-11.562799349033062	-51.07168270828279	-27.585615074018193	-5.202736381237051
34	-10.068873899949537	-51.60141315813794	-28.470011877968705	-7.009708319554159
35	-12.521844498920023	-52.390799258550594	-28.58132467934156	-6.296639941955895
36	-10.712583659663004	-51.77944389227802	-28.648485755018157	-6.006233688683939
37	-10.014430174442172	-51.74204876405008	-28.875884477438518	-6.518918444823007
38	-8.8410362276399	-51.298217218395315	-28.769851088991338	-6.1449473446091
39	-8.306224116058885	-51.808889935002625	-28.82630442044903	-5.63408015797262
40	-7.683941451578136	-50.95735833637701	-28.308883517025585	-5.5710963900613795
41	-6.9768109188912	-50.79550861598188	-28.051211807243035	-5.219173448497828
42	-8.009784722854729	-50.087599203465686	-27.761244001979396	-5.373739446063294
43	-11.09439410943591	-50.70283271138499	-28.508267207578537	-6.115385040817365
44	-9.897208236767666	-50.61591771297471	-28.571443886240445	-6.468689845124386
45	-5.998379869895216	-50.06677646748173	-27.660260934528814	-3.976237734305176
46	-6.120669478742749	-49.675782761197866	-27.465485979542308	-3.533808397992525
47	-7.116005664306784	-49.195688152272766	-27.50576598363219	-4.734236848676509
48	-7.938015048288498	-48.549754569431194	-27.426217830831526	-4.743191170488707
49	-7.8584973589536755	-47.84038002068014	-27.40163016916712	-5.234572651561501
50	-6.622791257096823	-47.47889306044469	-26.859808800604224	-3.824369538277498
51	-5.692785095159004	-47.159870070361265	-26.639456693158643	-3.9481699311748613
52	-7.996243192982753	-45.41876622670223	-26.372252378534316	-4.902123247185079
53	-5.667208256110951	-45.01223376301476	-25.998269178975477	-4.24154870617985
54	-9.330315559176192	-45.56312948629941	-26.551068035329642	-5.393219606557686
55	-7.464004109302097	-45.00821493041885	-26.06324130322413	-4.675880821417466
56	-7.29226215104903	-44.48311137693673	-25.946285759341468	-5.219453240562413
57	-6.845721236232997	-44.42302780371135	-25.509121958671873	-4.231238400730802
58	-6.139329686789743	-43.21386084092379	-25.252707769837986	-4.532170646383548
59	-5.108210340643993	-42.708983784019395	-24.883805348309732	-3.3902756610366556
60	-7.122175952215114	-43.29187788710644	-24.949392408227375	-3.7140865761638864
61	-8.568790973127882	-43.309357208658014	-24.965067548767443	-3.604789524212484
62	-8.534276019104118	-42.83162505932303	-25.08240798097625	-5.04790656225659
63	-6.743880044025165	-42.5663491883119	-24.590794324700166	-3.9904357014953535
64	-6.4570030705828625	-41.73883127558574	-24.301935190398815	-3.4120445831166295
65	-6.911369154810944	-42.00339256875909	-24.280478999649144	-3.1941698095282876
66	-8.112528630354547	-42.441336687245965	-24.59919721580326	-4.112285849203669
67	-7.66867307980519	-42.064724792712234	-24.450378517272924	-4.53022610823355
68	-8.751862722999999	-41.38448139307485	-24.436246693146085	-4.692108820873127
69	-7.344038029531572	-40.814214276535886	-24.186076341298687	-4.694425707677258
70	-7.261246607795855	-40.70708891264441	-24.109370332418656	-4.451307084397225
71	-8.160264570293677	-41.06080451021468	-23.974510550836936	-3.4284280821380486
72	-9.501329348187367	-40.750389005739464	-24.1974207085764	-4.8104019186790135
