Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	17:37:57	17:37:57	17:37:58			17:37:58	17:37:58	17:37:58	17:37:58	17:37:58	17:37:58	17:37:58	17:38:10	17:38:10	17:38:10	17:38:10	17:38:10	17:38:10			17:38:12	17:38:12		00:00:00		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:14
1	17:38:12	17:38:12	17:38:12	17:38:12	17:38:12	17:38:12	17:38:12	17:38:12	17:38:12	17:38:12	17:38:13	17:38:13	17:38:23	17:38:23	17:38:23	17:38:23	17:38:23	17:38:23			17:38:24	17:38:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
2	17:38:24	17:38:24	17:38:24	17:38:24	17:38:24	17:38:24			17:38:24	17:38:24	17:38:24	17:38:24	17:38:36	17:38:36	17:38:36	17:38:36	17:38:36	17:38:36			17:38:37	17:38:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:12
3	17:38:37	17:38:37	17:38:37	17:38:37	17:38:37	17:38:37			17:38:37	17:38:37	17:38:37	17:38:37	17:38:49	17:38:49	17:38:49	17:38:49	17:38:49	17:38:49			17:38:49	17:38:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
4	17:38:49	17:38:49	17:38:49	17:38:49	17:38:49	17:38:49			17:38:49	17:38:49	17:38:50	17:38:50	17:39:01	17:39:01	17:39:01	17:39:01	17:39:01	17:39:01			17:39:01	17:39:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:11
5	17:39:02	17:39:02	17:39:02	17:39:02	17:39:02	17:39:02			17:39:02	17:39:02	17:39:02	17:39:02	17:39:12	17:39:12	17:39:12	17:39:12	17:39:12	17:39:12			17:39:12	17:39:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
6	17:39:12	17:39:12	17:39:12	17:39:12	17:39:12	17:39:12			17:39:12	17:39:12	17:39:13	17:39:13	17:39:22	17:39:22	17:39:22	17:39:22	17:39:22	17:39:22			17:39:23	17:39:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
7	17:39:23	17:39:23	17:39:23	17:39:23	17:39:23	17:39:23			17:39:23	17:39:23	17:39:23	17:39:23	17:39:33	17:39:33	17:39:33	17:39:33	17:39:33	17:39:33			17:39:34	17:39:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:10
8	17:39:34	17:39:34	17:39:34	17:39:34	17:39:34	17:39:34			17:39:34	17:39:34	17:39:34	17:39:34	17:39:44	17:39:44	17:39:44	17:39:44	17:39:44	17:39:44			17:39:44	17:39:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
9	17:39:44	17:39:44	17:39:44	17:39:44	17:39:44	17:39:44			17:39:44	17:39:44	17:39:44	17:39:44	17:39:55	17:39:55	17:39:55	17:39:55	17:39:55	17:39:55			17:39:56	17:39:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
