ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	10695.473251028807	10695.473251028807	
1	10855.9670781893	10855.9670781893	
2	10950.617283950618	10950.617283950618	
3	10962.962962962964	10962.962962962964	
4	11032.921810699589	11032.921810699589	
5	11086.41975308642	11086.41975308642	
6	11115.22633744856	11115.22633744856	
7	11213.991769547325	11213.991769547325	
8	11197.530864197532	11197.530864197532	
9	11181.069958847736	11181.069958847736	
10	11172.839506172839	11172.839506172839	
11	11213.991769547325	11213.991769547325	
12	11181.069958847736	11181.069958847736	
13	11205.761316872427	11205.761316872427	
14	11226.33744855967	11226.33744855967	
15	11197.530864197532	11197.530864197532	
16	11205.761316872427	11205.761316872427	
17	11144.0329218107	11144.0329218107	
18	11226.33744855967	11226.33744855967	
19	11222.222222222223	11222.222222222223	
20	11222.222222222223	11222.222222222223	
21	11271.604938271605	11271.604938271605	
22	11242.798353909466	11242.798353909466	
23	11234.567901234568	11234.567901234568	
24	11271.604938271605	11271.604938271605	
25	11255.144032921811	11255.144032921811	
26	11242.798353909466	11242.798353909466	
27	11197.530864197532	11197.530864197532	
28	11119.341563786009	11119.341563786009	
29	11164.609053497943	11164.609053497943	
30	11160.493827160493	11160.493827160493	
31	11131.687242798354	11131.687242798354	
32	11193.415637860082	11193.415637860082	
33	11127.572016460905	11127.572016460905	
34	11172.839506172839	11172.839506172839	
35	11201.64609053498	11201.64609053498	
36	11218.106995884773	11218.106995884773	
37	11234.567901234568	11234.567901234568	
38	11152.263374485598	11152.263374485598	
39	11189.300411522634	11189.300411522634	
40	11193.415637860082	11193.415637860082	
41	11197.530864197532	11197.530864197532	
42	11205.761316872427	11205.761316872427	
43	11189.300411522634	11189.300411522634	
44	11226.33744855967	11226.33744855967	
45	11218.106995884773	11218.106995884773	
46	11201.64609053498	11201.64609053498	
47	11160.493827160493	11160.493827160493	
48	11148.148148148148	11148.148148148148	
49	11185.185185185184	11185.185185185184	
50	11152.263374485598	11152.263374485598	
51	11189.300411522634	11189.300411522634	
52	11144.0329218107	11144.0329218107	
53	11189.300411522634	11189.300411522634	
54	11193.415637860082	11193.415637860082	
55	11226.33744855967	11226.33744855967	
56	11213.991769547325	11213.991769547325	
57	11230.45267489712	11230.45267489712	
58	11197.530864197532	11197.530864197532	
59	11176.954732510289	11176.954732510289	
60	11156.378600823045	11156.378600823045	
61	11205.761316872427	11205.761316872427	
62	11176.954732510289	11176.954732510289	
63	11148.148148148148	11148.148148148148	
64	11226.33744855967	11226.33744855967	
65	11168.724279835391	11168.724279835391	
66	11135.802469135802	11135.802469135802	
67	11234.567901234568	11234.567901234568	
68	11259.25925925926	11259.25925925926	
69	11205.761316872427	11205.761316872427	
70	11164.609053497943	11164.609053497943	
71	11185.185185185184	11185.185185185184	
72	11185.185185185184	11185.185185185184	
73	11185.185185185184	11185.185185185184	
74	11201.64609053498	11201.64609053498	
75	11185.185185185184	11185.185185185184	
76	11251.028806584362	11251.028806584362	
77	11209.876543209877	11209.876543209877	
78	11176.954732510289	11176.954732510289	
79	11148.148148148148	11148.148148148148	
80	11135.802469135802	11135.802469135802	
81	11213.991769547325	11213.991769547325	
82	11222.222222222223	11222.222222222223	
83	11197.530864197532	11197.530864197532	
84	11205.761316872427	11205.761316872427	
85	11209.876543209877	11209.876543209877	
86	11230.45267489712	11230.45267489712	
87	11185.185185185184	11185.185185185184	
88	11222.222222222223	11222.222222222223	
89	11172.839506172839	11172.839506172839	
90	11156.378600823045	11156.378600823045	
91	11160.493827160493	11160.493827160493	
92	11193.415637860082	11193.415637860082	
93	11230.45267489712	11230.45267489712	
94	11218.106995884773	11218.106995884773	
95	11123.456790123457	11123.456790123457	
96	11131.687242798354	11131.687242798354	
97	11131.687242798354	11131.687242798354	
98	11098.765432098766	11098.765432098766	
99	11111.111111111111	11111.111111111111	
100	11098.765432098766	11098.765432098766	
101	11156.378600823045	11156.378600823045	
102	11115.22633744856	11115.22633744856	
103	11119.341563786009	11119.341563786009	
104	11123.456790123457	11123.456790123457	
105	11102.880658436214	11102.880658436214	
106	11127.572016460905	11127.572016460905	
107	11156.378600823045	11156.378600823045	
108	11106.995884773663	11106.995884773663	
109	11176.954732510289	11176.954732510289	
110	11209.876543209877	11209.876543209877	
111	11201.64609053498	11201.64609053498	
112	11275.720164609054	11275.720164609054	
113	11209.876543209877	11209.876543209877	
114	11263.374485596707	11263.374485596707	
115	11168.724279835391	11168.724279835391	
116	11201.64609053498	11201.64609053498	
117	11172.839506172839	11172.839506172839	
118	11185.185185185184	11185.185185185184	
119	11148.148148148148	11148.148148148148	
120	11172.839506172839	11172.839506172839	
121	11131.687242798354	11131.687242798354	
122	11139.91769547325	11139.91769547325	
123	11185.185185185184	11185.185185185184	
124	11209.876543209877	11209.876543209877	
125	11193.415637860082	11193.415637860082	
126	11197.530864197532	11197.530864197532	
127	11181.069958847736	11181.069958847736	
128	11213.991769547325	11213.991769547325	
129	11176.954732510289	11176.954732510289	
130	11144.0329218107	11144.0329218107	
131	11189.300411522634	11189.300411522634	
132	11176.954732510289	11176.954732510289	
133	11209.876543209877	11209.876543209877	
134	11218.106995884773	11218.106995884773	
135	11152.263374485598	11152.263374485598	
136	11181.069958847736	11181.069958847736	
137	11160.493827160493	11160.493827160493	
138	11139.91769547325	11139.91769547325	
139	11152.263374485598	11152.263374485598	
140	11144.0329218107	11144.0329218107	
141	11222.222222222223	11222.222222222223	
142	11189.300411522634	11189.300411522634	
143	11218.106995884773	11218.106995884773	
144	11218.106995884773	11218.106995884773	
145	11213.991769547325	11213.991769547325	
146	11152.263374485598	11152.263374485598	
147	11189.300411522634	11189.300411522634	
148	11246.913580246914	11246.913580246914	
149	11205.761316872427	11205.761316872427	
150	11189.300411522634	11189.300411522634	
151	11218.106995884773	11218.106995884773	
152	11168.724279835391	11168.724279835391	
153	11230.45267489712	11230.45267489712	
154	11226.33744855967	11226.33744855967	
155	11222.222222222223	11222.222222222223	
156	11156.378600823045	11156.378600823045	
157	11193.415637860082	11193.415637860082	
158	11127.572016460905	11127.572016460905	
159	11181.069958847736	11181.069958847736	
160	11164.609053497943	11164.609053497943	
161	11181.069958847736	11181.069958847736	
162	11193.415637860082	11193.415637860082	
163	11185.185185185184	11185.185185185184	
164	11144.0329218107	11144.0329218107	
165	11139.91769547325	11139.91769547325	
166	11209.876543209877	11209.876543209877	
167	11172.839506172839	11172.839506172839	
168	11160.493827160493	11160.493827160493	
169	11189.300411522634	11189.300411522634	
170	11127.572016460905	11127.572016460905	
171	11119.341563786009	11119.341563786009	
172	11131.687242798354	11131.687242798354	
173	11201.64609053498	11201.64609053498	
174	11193.415637860082	11193.415637860082	
175	11213.991769547325	11213.991769547325	
176	11185.185185185184	11185.185185185184	
177	11197.530864197532	11197.530864197532	
178	11230.45267489712	11230.45267489712	
179	11234.567901234568	11234.567901234568	
180	11251.028806584362	11251.028806584362	
181	11242.798353909466	11242.798353909466	
182	11242.798353909466	11242.798353909466	
183	11226.33744855967	11226.33744855967	
184	11197.530864197532	11197.530864197532	
185	11213.991769547325	11213.991769547325	
186	11139.91769547325	11139.91769547325	
187	11230.45267489712	11230.45267489712	
188	11201.64609053498	11201.64609053498	
189	11222.222222222223	11222.222222222223	
190	11156.378600823045	11156.378600823045	
191	11193.415637860082	11193.415637860082	
192	11201.64609053498	11201.64609053498	
193	11168.724279835391	11168.724279835391	
194	11172.839506172839	11172.839506172839	
195	11230.45267489712	11230.45267489712	
196	11251.028806584362	11251.028806584362	
197	11222.222222222223	11222.222222222223	
198	11218.106995884773	11218.106995884773	
199	11168.724279835391	11168.724279835391	
200	11168.724279835391	11168.724279835391	
201	11259.25925925926	11259.25925925926	
202	11271.604938271605	11271.604938271605	
203	11271.604938271605	11271.604938271605	
204	11172.839506172839	11172.839506172839	
205	11213.991769547325	11213.991769547325	
206	11168.724279835391	11168.724279835391	
207	11189.300411522634	11189.300411522634	
208	11193.415637860082	11193.415637860082	
209	11131.687242798354	11131.687242798354	
210	11086.41975308642	11086.41975308642	
211	11065.843621399177	11065.843621399177	
212	11144.0329218107	11144.0329218107	
213	11160.493827160493	11160.493827160493	
214	11172.839506172839	11172.839506172839	
215	11156.378600823045	11156.378600823045	
216	11181.069958847736	11181.069958847736	
217	11164.609053497943	11164.609053497943	
218	11127.572016460905	11127.572016460905	
219	11148.148148148148	11148.148148148148	
220	11181.069958847736	11181.069958847736	
221	11218.106995884773	11218.106995884773	
222	11189.300411522634	11189.300411522634	
223	11176.954732510289	11176.954732510289	
224	11197.530864197532	11197.530864197532	
225	11193.415637860082	11193.415637860082	
226	11230.45267489712	11230.45267489712	
227	11222.222222222223	11222.222222222223	
228	11226.33744855967	11226.33744855967	
229	11193.415637860082	11193.415637860082	
230	11168.724279835391	11168.724279835391	
231	11246.913580246914	11246.913580246914	
232	11164.609053497943	11164.609053497943	
233	11156.378600823045	11156.378600823045	
234	11218.106995884773	11218.106995884773	
235	11127.572016460905	11127.572016460905	
236	11238.683127572016	11238.683127572016	
237	11094.650205761316	11094.650205761316	
238	11213.991769547325	11213.991769547325	
239	11135.802469135802	11135.802469135802	
240	11135.802469135802	11135.802469135802	
241	11160.493827160493	11160.493827160493	
242	11185.185185185184	11185.185185185184	
243	11135.802469135802	11135.802469135802	
244	11148.148148148148	11148.148148148148	
245	11135.802469135802	11135.802469135802	
