Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:18:06	14:18:06	14:18:06			14:18:06	14:18:06	14:18:06	14:18:06	14:18:06	14:18:06	14:18:06	14:18:11	14:18:11	14:18:11	14:18:11	14:18:11	14:18:11			14:18:12	14:18:12		00:00:00		00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
1	14:18:12	14:18:12	14:18:12	14:18:12	14:18:13	14:18:13	14:18:13	14:18:13	14:18:13	14:18:13	14:18:13	14:18:13	14:18:17	14:18:17	14:18:17	14:18:17	14:18:17	14:18:17			14:18:18	14:18:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
2	14:18:18	14:18:18	14:18:18	14:18:18	14:18:18	14:18:18			14:18:18	14:18:18	14:18:18	14:18:18	14:18:22	14:18:22	14:18:22	14:18:22	14:18:22	14:18:22			14:18:22	14:18:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
3	14:18:22	14:18:22	14:18:22	14:18:22	14:18:22	14:18:22			14:18:22	14:18:22	14:18:22	14:18:22	14:18:26	14:18:26	14:18:26	14:18:26	14:18:26	14:18:26			14:18:26	14:18:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
4	14:18:27	14:18:27	14:18:27	14:18:27	14:18:27	14:18:27			14:18:27	14:18:27	14:18:27	14:18:27	14:18:30	14:18:30	14:18:30	14:18:30	14:18:30	14:18:30			14:18:31	14:18:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
5	14:18:31	14:18:31	14:18:31	14:18:31	14:18:31	14:18:31			14:18:31	14:18:31	14:18:31	14:18:31	14:18:34	14:18:34	14:18:34	14:18:34	14:18:34	14:18:34			14:18:35	14:18:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
6	14:18:35	14:18:35	14:18:35	14:18:35	14:18:35	14:18:35			14:18:35	14:18:35	14:18:35	14:18:35	14:18:38	14:18:38	14:18:38	14:18:38	14:18:38	14:18:38			14:18:39	14:18:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
7	14:18:39	14:18:39	14:18:39	14:18:39	14:18:39	14:18:39			14:18:39	14:18:39	14:18:39	14:18:39	14:18:42	14:18:42	14:18:42	14:18:42	14:18:42	14:18:42			14:18:43	14:18:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
8	14:18:43	14:18:43	14:18:43	14:18:43	14:18:43	14:18:43			14:18:43	14:18:43	14:18:43	14:18:43	14:18:46	14:18:46	14:18:46	14:18:46	14:18:46	14:18:46			14:18:47	14:18:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
9	14:18:47	14:18:47	14:18:47	14:18:47	14:18:47	14:18:47			14:18:47	14:18:47	14:18:47	14:18:47	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51			14:18:51	14:18:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
10	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:51	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55	14:18:55		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
