Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	19203.948055555556	0.0	0.0	0.0
1	15445.590833333334	0.0	0.0	0.0
2	12312.924166666666	0.0	0.0	0.0
3	10042.217222222222	0.0	0.0	0.0
4	8279.824444444444	0.0	0.0	0.0
5	7249.5055555555555	0.0	0.0	0.0
6	6518.0680555555555	0.0	0.0	0.0
7	6053.321944444445	0.0	0.0	0.0
8	5797.747777777778	0.0	0.0	0.0
9	5566.408055555556	0.0	0.0	0.0
10	5486.921666666667	0.0	0.0	0.0
11	5395.1594444444445	0.0	0.0	0.0
12	5319.6658333333335	0.0	0.0	0.0
13	5372.341666666666	0.0	0.0	0.0
14	5283.5697222222225	0.0	0.0	0.0
15	5266.436388888889	0.0	0.0	0.0
16	5239.806666666666	0.0	0.0	0.0
17	5219.765277777778	0.0	0.0	0.0
18	5247.844166666667	0.0	0.0	0.0
19	5190.050277777777	0.0	0.0	0.0
20	5127.3516666666665	0.0	0.0	0.0
