Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:24:46	04:24:46	04:24:46			04:24:46	04:24:46	04:24:46	04:24:46	04:24:46	04:24:46	04:24:46	04:24:57	04:24:57	04:24:57	04:24:57	04:24:57	04:24:57			04:24:59	04:24:59		00:00:00		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
1	04:24:59	04:24:59	04:24:59	04:24:59	04:24:59	04:24:59	04:24:59	04:25:00	04:25:00	04:25:00	04:25:00	04:25:00	04:25:08	04:25:08	04:25:08	04:25:08	04:25:08	04:25:08			04:25:09	04:25:09		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:09
2	04:25:09	04:25:09	04:25:09	04:25:09	04:25:09	04:25:09			04:25:09	04:25:09	04:25:09	04:25:09	04:25:17	04:25:17	04:25:17	04:25:17	04:25:17	04:25:17			04:25:17	04:25:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
3	04:25:17	04:25:17	04:25:17	04:25:17	04:25:17	04:25:17			04:25:17	04:25:17	04:25:18	04:25:18	04:25:25	04:25:25	04:25:25	04:25:25	04:25:25	04:25:25			04:25:26	04:25:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
4	04:25:26	04:25:26	04:25:26	04:25:26	04:25:26	04:25:26			04:25:26	04:25:26	04:25:26	04:25:26	04:25:33	04:25:33	04:25:33	04:25:33	04:25:33	04:25:33			04:25:34	04:25:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
5	04:25:34	04:25:34	04:25:34	04:25:34	04:25:34	04:25:34			04:25:34	04:25:34	04:25:34	04:25:34	04:25:42	04:25:42	04:25:42	04:25:42	04:25:42	04:25:42			04:25:42	04:25:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
6	04:25:42	04:25:42	04:25:42	04:25:42	04:25:43	04:25:43			04:25:43	04:25:43	04:25:43	04:25:43	04:25:50	04:25:50	04:25:50	04:25:50	04:25:50	04:25:50			04:25:51	04:25:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
7	04:25:51	04:25:51	04:25:51	04:25:51	04:25:51	04:25:51			04:25:51	04:25:51	04:25:51	04:25:51	04:25:58	04:25:58	04:25:58	04:25:58	04:25:58	04:25:58			04:25:59	04:25:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
8	04:25:59	04:25:59	04:25:59	04:25:59	04:25:59	04:25:59			04:25:59	04:25:59	04:25:59	04:25:59	04:26:06	04:26:06	04:26:06	04:26:06	04:26:06	04:26:06			04:26:07	04:26:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
9	04:26:07	04:26:07	04:26:07	04:26:07	04:26:07	04:26:07			04:26:07	04:26:07	04:26:07	04:26:07	04:26:14	04:26:14	04:26:14	04:26:14	04:26:14	04:26:14			04:26:15	04:26:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
10	04:26:15	04:26:15	04:26:15	04:26:15	04:26:15	04:26:15	04:26:15	04:26:15	04:26:15	04:26:15	04:26:15	04:26:15	04:26:23	04:26:23	04:26:23	04:26:23	04:26:23	04:26:23	04:26:23	04:26:23	04:26:25	04:26:25		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:01	00:00:09
11	04:26:25	04:26:25	04:26:25	04:26:25	04:26:25	04:26:25			04:26:25	04:26:25	04:26:25	04:26:25	04:26:32	04:26:32	04:26:32	04:26:32	04:26:32	04:26:32			04:26:32	04:26:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
12	04:26:33	04:26:33	04:26:33	04:26:33	04:26:33	04:26:33			04:26:33	04:26:33	04:26:33	04:26:33	04:26:40	04:26:40	04:26:40	04:26:40	04:26:40	04:26:40			04:26:40	04:26:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
13	04:26:41	04:26:41	04:26:41	04:26:41	04:26:41	04:26:41			04:26:41	04:26:41	04:26:41	04:26:41	04:26:48	04:26:48	04:26:48	04:26:48	04:26:48	04:26:48			04:26:48	04:26:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
14	04:26:49	04:26:49	04:26:49	04:26:49	04:26:49	04:26:49			04:26:49	04:26:49	04:26:49	04:26:49	04:26:56	04:26:56	04:26:56	04:26:56	04:26:56	04:26:56			04:26:56	04:26:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
15	04:26:56	04:26:56	04:26:56	04:26:56	04:26:56	04:26:56			04:26:56	04:26:56	04:26:56	04:26:56	04:27:04	04:27:04	04:27:04	04:27:04	04:27:04	04:27:04			04:27:04	04:27:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
