ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	129.88280191238925	129.88280191238925	129.88280191238925	129.88280191238925
1	130.92438586872706	130.64713795299286	130.7873626639335	130.92758737487412
2	131.5060522996666	131.07614449356055	131.29640228491422	131.50829351759992
3	131.885252745465	131.3617045680156	131.63480767515583	131.8888666041327
4	132.0819330385488	131.49858019649935	131.80947389719702	132.0873104352073
5	132.20700876147282	131.58621135422916	131.92488035229306	132.21475408420181
6	132.26920449493937	131.62480571189144	131.98459263944955	132.2778945165373
7	132.30652967086417	131.64739464799155	132.02264389794766	132.31738738468087
8	132.3320367992675	131.6558383789783	132.04801159407785	132.3443303428303
9	132.34616174024538	131.65747635889016	132.06283901685316	132.3603443719464
10	132.36321502093998	131.66083439911085	132.08081238740203	132.37785196809136
11	132.37467554608122	131.66232860498963	132.0908585284991	132.38846150134611
12	132.37381399739343	131.6564584826842	132.09411760710464	132.39038986453147
13	132.38164450329802	131.65859846238723	132.1053153707803	132.40010208338023
14	132.38073083870316	131.6516628650105	132.10647549559812	132.3997765293496
15	132.38903093344177	131.65328700315277	132.1158384416834	132.4086540927557
16	132.38910719934165	131.64644552890647	132.11601318462357	132.40941130860944
17	132.39637153308	131.65058372469727	132.1222241401052	132.41557233719251
18	132.39287481340685	131.64314105289247	132.12365770198988	132.4196451952611
19	132.39659340611917	131.64766554938905	132.12624344636552	132.41766306478553
20	132.40021227612016	131.64898071965712	132.13130643285703	132.4232519414382
