Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	05:29:41	05:29:41	05:29:41			05:29:41	05:29:41	05:29:41	05:29:41	05:29:41	05:29:41	05:29:41	05:29:51	05:29:51	05:29:51	05:29:51	05:29:51	05:29:51			05:29:52	05:29:52		00:00:00		00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:11
1	05:29:53	05:29:53	05:29:53	05:29:53	05:29:53	05:29:53	05:29:53	05:29:53	05:29:53	05:29:53	05:29:53	05:29:53	05:30:01	05:30:01	05:30:01	05:30:01	05:30:01	05:30:01			05:30:02	05:30:02		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
2	05:30:02	05:30:02	05:30:02	05:30:02	05:30:02	05:30:02			05:30:02	05:30:02	05:30:02	05:30:02	05:30:10	05:30:10	05:30:10	05:30:10	05:30:10	05:30:10			05:30:11	05:30:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
3	05:30:11	05:30:11	05:30:11	05:30:11	05:30:11	05:30:11			05:30:11	05:30:11	05:30:11	05:30:11	05:30:19	05:30:19	05:30:19	05:30:19	05:30:19	05:30:19			05:30:19	05:30:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
4	05:30:19	05:30:19	05:30:19	05:30:19	05:30:19	05:30:19			05:30:20	05:30:20	05:30:20	05:30:20	05:30:28	05:30:28	05:30:28	05:30:28	05:30:28	05:30:28			05:30:28	05:30:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:08
5	05:30:29	05:30:29	05:30:29	05:30:29	05:30:29	05:30:29			05:30:29	05:30:29	05:30:29	05:30:29	05:30:36	05:30:36	05:30:36	05:30:36	05:30:36	05:30:36			05:30:37	05:30:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
6	05:30:37	05:30:37	05:30:37	05:30:37	05:30:37	05:30:37			05:30:37	05:30:37	05:30:37	05:30:37	05:30:44	05:30:44	05:30:44	05:30:44	05:30:44	05:30:44			05:30:45	05:30:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
7	05:30:45	05:30:45	05:30:45	05:30:45	05:30:45	05:30:45			05:30:45	05:30:45	05:30:45	05:30:45	05:30:52	05:30:52	05:30:52	05:30:52	05:30:52	05:30:52			05:30:52	05:30:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
8	05:30:53	05:30:53	05:30:53	05:30:53	05:30:53	05:30:53			05:30:53	05:30:53	05:30:53	05:30:53	05:30:59	05:30:59	05:30:59	05:30:59	05:30:59	05:30:59			05:31:00	05:31:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
9	05:31:00	05:31:00	05:31:00	05:31:00	05:31:00	05:31:00			05:31:00	05:31:00	05:31:00	05:31:00	05:31:07	05:31:07	05:31:07	05:31:07	05:31:07	05:31:07			05:31:08	05:31:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
10	05:31:08	05:31:08	05:31:08	05:31:08	05:31:08	05:31:08	05:31:08	05:31:08	05:31:08	05:31:08	05:31:08	05:31:08	05:31:16	05:31:16	05:31:16	05:31:16	05:31:16	05:31:16	05:31:16	05:31:16	05:31:16	05:31:16		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08
11	05:31:17	05:31:17	05:31:17	05:31:17	05:31:17	05:31:17			05:31:17	05:31:17	05:31:17	05:31:17	05:31:24	05:31:24	05:31:24	05:31:24	05:31:24	05:31:24			05:31:24	05:31:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
12	05:31:25	05:31:25	05:31:25	05:31:25	05:31:25	05:31:25			05:31:25	05:31:25	05:31:25	05:31:25	05:31:32	05:31:32	05:31:32	05:31:32	05:31:32	05:31:32			05:31:32	05:31:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
13	05:31:33	05:31:33	05:31:33	05:31:33	05:31:33	05:31:33			05:31:33	05:31:33	05:31:33	05:31:33	05:31:40	05:31:40	05:31:40	05:31:40	05:31:40	05:31:40			05:31:40	05:31:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
14	05:31:40	05:31:40	05:31:41	05:31:41	05:31:41	05:31:41			05:31:41	05:31:41	05:31:41	05:31:41	05:31:47	05:31:47	05:31:47	05:31:47	05:31:47	05:31:47			05:31:48	05:31:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
15	05:31:48	05:31:48	05:31:48	05:31:48	05:31:48	05:31:48			05:31:48	05:31:48	05:31:48	05:31:48	05:31:55	05:31:55	05:31:55	05:31:55	05:31:55	05:31:55			05:31:56	05:31:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
16	05:31:56	05:31:56	05:31:56	05:31:56	05:31:56	05:31:56			05:31:56	05:31:56	05:31:56	05:31:56	05:32:03	05:32:03	05:32:03	05:32:03	05:32:03	05:32:03			05:32:03	05:32:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
17	05:32:04	05:32:04	05:32:04	05:32:04	05:32:04	05:32:04			05:32:04	05:32:04	05:32:04	05:32:04	05:32:10	05:32:10	05:32:10	05:32:10	05:32:10	05:32:10			05:32:11	05:32:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
18	05:32:11	05:32:11	05:32:11	05:32:11	05:32:11	05:32:11			05:32:11	05:32:11	05:32:11	05:32:11	05:32:18	05:32:18	05:32:18	05:32:18	05:32:18	05:32:18			05:32:19	05:32:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
19	05:32:19	05:32:19	05:32:19	05:32:19	05:32:19	05:32:19			05:32:19	05:32:19	05:32:19	05:32:19	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26			05:32:26	05:32:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
20	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:26	05:32:33	05:32:33	05:32:33	05:32:33	05:32:33	05:32:33	05:32:33	05:32:33	05:32:34	05:32:34		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07
