Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	69.23	0.0	0.0	0.0
1	69.01194444444444	0.0	0.0	0.0
2	68.98694444444445	0.0	0.0	0.0
3	68.8675	0.0	0.0	0.0
4	68.85916666666667	0.0	0.0	0.0
5	68.73027777777777	0.0	0.0	0.0
6	68.68611111111112	0.0	0.0	0.0
7	68.60444444444444	0.0	0.0	0.0
8	68.62972222222223	0.0	0.0	0.0
9	68.5363888888889	0.0	0.0	0.0
10	68.46972222222222	0.0	0.0	0.0
11	68.41722222222222	0.0	0.0	0.0
12	68.40611111111112	0.0	0.0	0.0
13	68.39777777777778	0.0	0.0	0.0
14	68.39055555555555	0.0	0.0	0.0
15	68.35333333333334	0.0	0.0	0.0
16	68.38166666666666	0.0	0.0	0.0
17	68.39166666666667	0.0	0.0	0.0
18	68.42527777777778	0.0	0.0	0.0
19	68.36638888888889	0.0	0.0	0.0
20	68.34138888888889	0.0	0.0	0.0
