ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	132.66016780163184	132.66016780163184	132.66016780163184	132.66016780163184
1	132.7426661198894	132.71067129528063	132.73158784566502	132.75250439604946
2	132.78611712074502	132.7112798652636	132.7554053737163	132.79956207332998
3	132.8427887437203	132.73016283620314	132.79161916001323	132.8504837427693
4	132.86108609343583	132.73080891186564	132.80646412728905	132.87860307681896
5	132.88182860289695	132.73170119815848	132.81765040775323	132.90058853970527
6	132.88817583560467	132.71820718022528	132.81869399403274	132.9129130869995
7	132.91615549879282	132.71829033198344	132.83214005104222	132.93776488989226
8	132.93338187963494	132.71443431164096	132.8406762364497	132.95560720458815
9	132.94650947178246	132.7042802482867	132.84225197364844	132.96756302213842
10	132.95690918342694	132.69895383266012	132.84636389786067	132.97776494638896
11	132.97234461882275	132.69523734221178	132.8497332264455	132.9895121868084
12	132.97515006028675	132.69469092842152	132.85407776269048	132.99769767611377
13	132.98260274524176	132.68798185671415	132.8504398784082	132.99775447220665
14	132.97580521899093	132.6836880144388	132.85120241419466	133.00299359570232
15	132.98439844098812	132.68516618682716	132.854763541611	133.01004823500415
16	132.96758892126442	132.67183646306404	132.8448694649644	133.00527608116687
17	132.97879908882277	132.66167144988552	132.8418463804127	133.00814575838086
18	132.99650882216307	132.66392811464917	132.84562898705164	133.01552128395807
19	132.98721726239503	132.65611409654343	132.84190663754484	133.01650383861138
20	132.984595407739	132.64999870855283	132.83666606718316	133.0141294860099
