ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	102.80515632278157	102.80515632278157	102.80515632278157	102.80515632278157
1	102.80795290664548	102.80500498783606	102.80726398679336	102.80952298575063
2	102.80911396091116	102.8034832754016	102.807049378304	102.81049749408784
3	102.81214690576068	102.80348387989734	102.80826124213596	102.81283874675674
4	102.81288729673308	102.80285237788571	102.80871334762674	102.8140582148328
5	102.81397300014133	102.80152470154289	102.8087857870234	102.81540148755874
6	102.81454465934256	102.80162888701746	102.80898077549145	102.81566741444809
7	102.81439915814903	102.79972653147303	102.80828502246536	102.81612383654134
8	102.81506616944631	102.79923610179652	102.80868844312309	102.81731050777182
9	102.81488347755176	102.79794644638793	102.80869569785972	102.81836574817858
10	102.8167768531697	102.79719369859613	102.80848561088149	102.81871463915586
11	102.81818871976648	102.79698068721407	102.80881647267063	102.81939087782133
12	102.81690138114352	102.79456465135401	102.80821776325124	102.82010425527913
13	102.8156771997255	102.79216751493895	102.80657359842094	102.8192157548029
14	102.8177820521436	102.79184964374566	102.80685408829217	102.82030012545715
15	102.8174466352738	102.79012216947163	102.8063529932833	102.8205067059484
16	102.81908836027685	102.7898007199235	102.80631295456949	102.82062879507718
17	102.81814699378722	102.78887271950491	102.80593360710616	102.82082980441868
18	102.81710309746083	102.78691887936408	102.80502614812922	102.82128908766794
19	102.81828870053855	102.78619774276038	102.80455969964719	102.82046922281373
20	102.81787894455994	102.78495514476515	102.80422354229258	102.82081340862483
