Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	1227.9447222222223	0.0	0.0	0.0
1	1227.9155555555556	0.0	0.0	0.0
2	1227.8438888888888	0.0	0.0	0.0
3	1227.7844444444445	0.0	0.0	0.0
4	1227.743888888889	0.0	0.0	0.0
5	1227.6972222222223	0.0	0.0	0.0
6	1227.6483333333333	0.0	0.0	0.0
7	1227.6166666666666	0.0	0.0	0.0
8	1227.611111111111	0.0	0.0	0.0
9	1227.5597222222223	0.0	0.0	0.0
10	1227.5472222222222	0.0	0.0	0.0
11	1227.5938888888888	0.0	0.0	0.0
12	1227.6044444444444	0.0	0.0	0.0
13	1227.5230555555556	0.0	0.0	0.0
14	1227.5219444444444	0.0	0.0	0.0
15	1227.5013888888889	0.0	0.0	0.0
16	1227.5358333333334	0.0	0.0	0.0
17	1227.5144444444445	0.0	0.0	0.0
18	1227.5144444444445	0.0	0.0	0.0
19	1227.5127777777777	0.0	0.0	0.0
20	1227.4933333333333	0.0	0.0	0.0
