Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	06:56:37	06:56:37	06:56:37			06:56:37	06:56:37	06:56:37	06:56:37	06:56:37	06:56:37	06:56:37	06:56:46	06:56:46	06:56:46	06:56:46	06:56:46	06:56:46			06:56:48	06:56:48		00:00:00		00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:10
1	06:56:48	06:56:48	06:56:48	06:56:48	06:56:48	06:56:48	06:56:48	06:56:48	06:56:48	06:56:48	06:56:48	06:56:48	06:56:56	06:56:56	06:56:56	06:56:56	06:56:56	06:56:56			06:56:58	06:56:58		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:09
2	06:56:58	06:56:58	06:56:58	06:56:58	06:56:58	06:56:58			06:56:58	06:56:58	06:56:58	06:56:58	06:57:05	06:57:05	06:57:05	06:57:05	06:57:05	06:57:05			06:57:06	06:57:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
3	06:57:06	06:57:06	06:57:06	06:57:06	06:57:06	06:57:06			06:57:06	06:57:06	06:57:06	06:57:06	06:57:14	06:57:14	06:57:14	06:57:14	06:57:14	06:57:14			06:57:14	06:57:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
4	06:57:14	06:57:14	06:57:14	06:57:14	06:57:14	06:57:14			06:57:14	06:57:14	06:57:14	06:57:14	06:57:22	06:57:22	06:57:22	06:57:22	06:57:22	06:57:22			06:57:22	06:57:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
5	06:57:22	06:57:22	06:57:22	06:57:22	06:57:22	06:57:22			06:57:22	06:57:22	06:57:22	06:57:22	06:57:30	06:57:30	06:57:30	06:57:30	06:57:30	06:57:30			06:57:30	06:57:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
6	06:57:30	06:57:30	06:57:30	06:57:30	06:57:30	06:57:30			06:57:30	06:57:30	06:57:30	06:57:30	06:57:38	06:57:38	06:57:38	06:57:38	06:57:38	06:57:38			06:57:38	06:57:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
7	06:57:39	06:57:39	06:57:39	06:57:39	06:57:39	06:57:39			06:57:39	06:57:39	06:57:39	06:57:39	06:57:46	06:57:46	06:57:46	06:57:46	06:57:46	06:57:46			06:57:47	06:57:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	06:57:47	06:57:47	06:57:47	06:57:47	06:57:47	06:57:47			06:57:47	06:57:47	06:57:47	06:57:47	06:57:54	06:57:54	06:57:54	06:57:54	06:57:54	06:57:54			06:57:55	06:57:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
9	06:57:55	06:57:55	06:57:55	06:57:55	06:57:55	06:57:55			06:57:55	06:57:55	06:57:55	06:57:55	06:58:02	06:58:02	06:58:02	06:58:02	06:58:02	06:58:02			06:58:03	06:58:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
10	06:58:03	06:58:03	06:58:03	06:58:03	06:58:03	06:58:03	06:58:03	06:58:03	06:58:03	06:58:03	06:58:03	06:58:03	06:58:11	06:58:11	06:58:11	06:58:11	06:58:11	06:58:11	06:58:11	06:58:11	06:58:11	06:58:11		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08
11	06:58:12	06:58:12	06:58:12	06:58:12	06:58:12	06:58:12			06:58:12	06:58:12	06:58:12	06:58:12	06:58:19	06:58:19	06:58:19	06:58:19	06:58:19	06:58:19			06:58:20	06:58:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
12	06:58:20	06:58:20	06:58:20	06:58:20	06:58:20	06:58:20			06:58:20	06:58:20	06:58:20	06:58:20	06:58:27	06:58:27	06:58:27	06:58:27	06:58:27	06:58:27			06:58:28	06:58:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
