Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	07:05:15	07:05:15	07:05:16			07:05:16	07:05:16	07:05:16	07:05:16	07:05:16	07:05:16	07:05:16	07:05:24	07:05:24	07:05:24	07:05:24	07:05:24	07:05:24			07:05:25	07:05:25		00:00:00		00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:09
1	07:05:25	07:05:25	07:05:25	07:05:25	07:05:26	07:05:26	07:05:26	07:05:26	07:05:26	07:05:26	07:05:26	07:05:26	07:05:32	07:05:32	07:05:32	07:05:32	07:05:32	07:05:32			07:05:33	07:05:33		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
2	07:05:33	07:05:33	07:05:33	07:05:33	07:05:33	07:05:33			07:05:33	07:05:33	07:05:33	07:05:33	07:05:40	07:05:40	07:05:40	07:05:40	07:05:40	07:05:40			07:05:40	07:05:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
3	07:05:41	07:05:41	07:05:41	07:05:41	07:05:41	07:05:41			07:05:41	07:05:41	07:05:41	07:05:41	07:05:47	07:05:47	07:05:47	07:05:47	07:05:47	07:05:47			07:05:48	07:05:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
4	07:05:48	07:05:48	07:05:48	07:05:48	07:05:48	07:05:48			07:05:48	07:05:48	07:05:48	07:05:48	07:05:54	07:05:54	07:05:54	07:05:54	07:05:54	07:05:54			07:05:55	07:05:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
5	07:05:55	07:05:55	07:05:55	07:05:55	07:05:55	07:05:55			07:05:55	07:05:55	07:05:55	07:05:55	07:06:01	07:06:01	07:06:01	07:06:01	07:06:01	07:06:01			07:06:02	07:06:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
6	07:06:02	07:06:02	07:06:02	07:06:02	07:06:02	07:06:02			07:06:02	07:06:02	07:06:02	07:06:02	07:06:09	07:06:09	07:06:09	07:06:09	07:06:09	07:06:09			07:06:09	07:06:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
7	07:06:09	07:06:09	07:06:09	07:06:09	07:06:09	07:06:09			07:06:09	07:06:09	07:06:09	07:06:09	07:06:16	07:06:16	07:06:16	07:06:16	07:06:16	07:06:16			07:06:16	07:06:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
8	07:06:16	07:06:16	07:06:16	07:06:16	07:06:16	07:06:16			07:06:16	07:06:16	07:06:16	07:06:16	07:06:23	07:06:23	07:06:23	07:06:23	07:06:23	07:06:23			07:06:23	07:06:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
9	07:06:23	07:06:23	07:06:23	07:06:23	07:06:23	07:06:23			07:06:23	07:06:23	07:06:23	07:06:23	07:06:30	07:06:30	07:06:30	07:06:30	07:06:30	07:06:30			07:06:30	07:06:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
10	07:06:30	07:06:30	07:06:30	07:06:30	07:06:30	07:06:30	07:06:30	07:06:31	07:06:31	07:06:31	07:06:31	07:06:31	07:06:37	07:06:37	07:06:37	07:06:37	07:06:37	07:06:37	07:06:37	07:06:38	07:06:38	07:06:38		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07
11	07:06:38	07:06:38	07:06:38	07:06:38	07:06:38	07:06:38			07:06:38	07:06:38	07:06:38	07:06:38	07:06:45	07:06:45	07:06:45	07:06:45	07:06:45	07:06:45			07:06:45	07:06:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
12	07:06:45	07:06:45	07:06:45	07:06:45	07:06:45	07:06:45			07:06:45	07:06:45	07:06:45	07:06:45	07:06:51	07:06:51	07:06:51	07:06:51	07:06:51	07:06:51			07:06:52	07:06:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
13	07:06:52	07:06:52	07:06:52	07:06:52	07:06:52	07:06:52			07:06:52	07:06:52	07:06:52	07:06:52	07:06:58	07:06:58	07:06:58	07:06:58	07:06:58	07:06:58			07:06:59	07:06:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:06
