ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	120.29699431175847	120.29699431175847	120.29699431175847	120.29699431175847
1	120.29854537038177	120.29645367475334	120.29779586622658	120.29913805769974
2	120.29891015594202	120.29599313224185	120.29777718045183	120.29948795918911
3	120.30032430101453	120.29585861140994	120.29864006706411	120.30134609010857
4	120.29999599639638	120.29388550130187	120.29791745767925	120.30170716689906
5	120.30121216231451	120.29398277554598	120.29812516987577	120.30205940454671
6	120.3018523438915	120.29402641613777	120.29834840483987	120.30241548418336
7	120.30129231147006	120.29250207544568	120.29746054084278	120.30206440477346
8	120.3022717207253	120.29252102125179	120.29801993588093	120.3032431481594
9	120.30108762929198	120.29085919352595	120.29712957791331	120.30279020333793
10	120.30177058088032	120.29020615845512	120.2970809001017	120.30334839136508
11	120.30338313105747	120.29027165410234	120.29734009343032	120.30367898165896
12	120.30350284734014	120.29000358455282	120.29753282908635	120.30444901985575
13	120.30261979290898	120.2888275477093	120.29707384850124	120.30430931791602
14	120.3028427299751	120.28835114626351	120.29691531322129	120.30453872305652
15	120.30250966508561	120.28745540899948	120.29663147409396	120.3044940024199
16	120.30482980308892	120.28736857035166	120.29695955725147	120.30513827281713
17	120.30399122551442	120.28719744938483	120.2968659464801	120.30518408451547
18	120.30316648077647	120.28602126870877	120.29622751031839	120.30481148505793
19	120.30354227981802	120.2858963147531	120.29633513643734	120.30537853862177
20	120.3042795755104	120.28572412462427	120.29646391155457	120.30592034736199
