Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	634.0538888888889	0.0	0.0	0.0
1	633.9680555555556	0.0	0.0	0.0
2	633.9502777777777	0.0	0.0	0.0
3	633.9475	0.0	0.0	0.0
4	633.8983333333333	0.0	0.0	0.0
5	633.9025	0.0	0.0	0.0
6	633.8352777777778	0.0	0.0	0.0
7	633.8827777777777	0.0	0.0	0.0
8	633.8608333333333	0.0	0.0	0.0
9	633.8558333333333	0.0	0.0	0.0
10	633.8069444444444	0.0	0.0	0.0
11	633.7905555555556	0.0	0.0	0.0
12	633.795	0.0	0.0	0.0
13	633.8025	0.0	0.0	0.0
14	633.785	0.0	0.0	0.0
15	633.7480555555555	0.0	0.0	0.0
16	633.7388888888889	0.0	0.0	0.0
17	633.7219444444445	0.0	0.0	0.0
18	633.7833333333333	0.0	0.0	0.0
19	633.785	0.0	0.0	0.0
20	633.7266666666667	0.0	0.0	0.0
