Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	249.71944444444443	0.0	0.0	0.0
1	249.72277777777776	0.0	0.0	0.0
2	249.70666666666668	0.0	0.0	0.0
3	249.69361111111112	0.0	0.0	0.0
4	249.6775	0.0	0.0	0.0
5	249.67583333333334	0.0	0.0	0.0
6	249.67555555555555	0.0	0.0	0.0
7	249.67638888888888	0.0	0.0	0.0
8	249.67305555555555	0.0	0.0	0.0
9	249.6675	0.0	0.0	0.0
10	249.67083333333332	0.0	0.0	0.0
11	249.6663888888889	0.0	0.0	0.0
12	249.6525	0.0	0.0	0.0
13	249.6563888888889	0.0	0.0	0.0
14	249.65222222222224	0.0	0.0	0.0
15	249.65166666666667	0.0	0.0	0.0
16	249.6475	0.0	0.0	0.0
17	249.6513888888889	0.0	0.0	0.0
18	249.6436111111111	0.0	0.0	0.0
19	249.6497222222222	0.0	0.0	0.0
20	249.64555555555555	0.0	0.0	0.0
