ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	129.6701051843781	129.6701051843781	129.6701051843781	129.6701051843781
1	129.67003843386541	129.66984143337768	129.67000442965292	129.67016742592816
2	129.6705170165081	129.66997944556937	129.6703718398771	129.67075018209127
3	129.67066256729183	129.66964131703116	129.6703523496296	129.67103549545155
4	129.6710572762552	129.6695561133213	129.67037681915576	129.67114895716688
5	129.67108998671148	129.66966613240967	129.67053097131145	129.6713350461304
6	129.67121305762058	129.66920239928157	129.67041716695684	129.6715183665233
7	129.6711016536156	129.66914944991538	129.6704254595192	129.67155182626806
8	129.67127285188172	129.66885118474713	129.6702570702065	129.67149216020525
9	129.67139383887874	129.6687928115515	129.6702968239967	129.67160475997002
10	129.67129319933778	129.66856099023005	129.67017718899356	129.67162534027855
11	129.67131447738515	129.6683411689478	129.6701201175422	129.67162202435097
12	129.67156557523657	129.66819433626267	129.67029476077622	129.67199568538817
13	129.67160548216617	129.6679753942664	129.67019710470828	129.6719728641057
14	129.67174075348362	129.66772344186032	129.67009219063647	129.67197589748767
15	129.6717009676211	129.66777888926896	129.67013994315505	129.67198877593532
16	129.6718104199426	129.6676512110537	129.67010276224858	129.67198633275854
17	129.67176197882782	129.6677608539756	129.67015573387408	129.6719797798159
18	129.67181643172646	129.66761547687477	129.67008359787317	129.67196687220454
19	129.6717322276193	129.66748953701963	129.67005545037793	129.6720823899946
20	129.6716971058345	129.6672621359367	129.6699871383488	129.67214495140325
