Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	03:24:04	03:24:04	03:24:04			03:24:04	03:24:04	03:24:05	03:24:05	03:24:05	03:24:05	03:24:05	03:24:16	03:24:16	03:24:16	03:24:16	03:24:16	03:24:16			03:24:18	03:24:18		00:00:00		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:02	00:00:13
1	03:24:19	03:24:19	03:24:19	03:24:19	03:24:19	03:24:19	03:24:19	03:24:19	03:24:19	03:24:19	03:24:19	03:24:19	03:24:27	03:24:27	03:24:27	03:24:27	03:24:27	03:24:27			03:24:29	03:24:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:02	00:00:10
2	03:24:30	03:24:30	03:24:30	03:24:30	03:24:30	03:24:30			03:24:30	03:24:30	03:24:30	03:24:30	03:24:39	03:24:39	03:24:39	03:24:39	03:24:39	03:24:39			03:24:40	03:24:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
3	03:24:40	03:24:40	03:24:40	03:24:40	03:24:40	03:24:40			03:24:40	03:24:40	03:24:40	03:24:40	03:24:48	03:24:48	03:24:48	03:24:48	03:24:48	03:24:48			03:24:49	03:24:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
4	03:24:49	03:24:49	03:24:49	03:24:49	03:24:49	03:24:49			03:24:49	03:24:49	03:24:49	03:24:49	03:25:01	03:25:01	03:25:01	03:25:01	03:25:01	03:25:01			03:25:02	03:25:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
5	03:25:02	03:25:02	03:25:02	03:25:02	03:25:02	03:25:02			03:25:02	03:25:02	03:25:02	03:25:02	03:25:10	03:25:10	03:25:10	03:25:10	03:25:10	03:25:10			03:25:10	03:25:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
6	03:25:11	03:25:11	03:25:11	03:25:11	03:25:11	03:25:11			03:25:11	03:25:11	03:25:11	03:25:11	03:25:18	03:25:18	03:25:18	03:25:18	03:25:18	03:25:18			03:25:19	03:25:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
7	03:25:19	03:25:19	03:25:19	03:25:19	03:25:19	03:25:19			03:25:19	03:25:19	03:25:19	03:25:19	03:25:27	03:25:27	03:25:27	03:25:27	03:25:27	03:25:27			03:25:27	03:25:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	03:25:27	03:25:27	03:25:28	03:25:28	03:25:28	03:25:28			03:25:28	03:25:28	03:25:28	03:25:28	03:25:35	03:25:35	03:25:35	03:25:35	03:25:35	03:25:35			03:25:36	03:25:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
9	03:25:36	03:25:36	03:25:36	03:25:36	03:25:36	03:25:36			03:25:36	03:25:36	03:25:36	03:25:36	03:25:44	03:25:44	03:25:44	03:25:44	03:25:44	03:25:44			03:25:44	03:25:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
