ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	129.64020769105034	129.64020769105034	129.64020769105034	129.64020769105034
1	129.64043221796493	129.6403154346557	129.64042293640128	129.6405304381469
2	129.64043698159028	129.64010501882942	129.64034093571993	129.6405841843334
3	129.64103558040037	129.64031295428668	129.64078589326536	129.6412569071443
4	129.64133891738635	129.6402818252178	129.64089790837645	129.64151307640782
5	129.64150777340296	129.64022868560565	129.64098584898557	129.64172687543498
6	129.6417102327308	129.64018153341038	129.64108664229363	129.64197473440697
7	129.64176958632567	129.63980373581614	129.64094800767566	129.64201190309862
8	129.6419063330209	129.63981574223982	129.64107196394204	129.64223073493648
9	129.64207332823378	129.63967078339587	129.64101656109028	129.6422471204038
10	129.64168289362868	129.63935823916125	129.64085124447936	129.64213065341272
11	129.64206134313068	129.6392232928683	129.64092913684823	129.64234096399622
12	129.64201564435234	129.63910109679063	129.6408687923911	129.64234965353074
13	129.64212665079776	129.6389212775746	129.64080807084252	129.64237797001988
14	129.64237254692995	129.6389859283136	129.6409378646091	129.64253072362976
15	129.64225633733508	129.63884945086096	129.64085964088645	129.64252071241464
16	129.64236803835485	129.63864522779062	129.64080430862353	129.64254834166178
17	129.64215727952498	129.6385163197785	129.64072665808584	129.64252109635325
18	129.6420829411789	129.63832714312557	129.64063276427513	129.64248801508114
19	129.64209760864014	129.63822223755878	129.64062217648095	129.64251051193622
20	129.6423034232701	129.63813523574188	129.64064983840115	129.64262214922906
