Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	03:53:01	03:53:01	03:53:01			03:53:01	03:53:01	03:53:02	03:53:02	03:53:02	03:53:02	03:53:02	03:53:12	03:53:12	03:53:12	03:53:12	03:53:12	03:53:12			03:53:14	03:53:14		00:00:00		00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
1	03:53:15	03:53:15	03:53:15	03:53:15	03:53:15	03:53:15	03:53:15	03:53:15	03:53:15	03:53:15	03:53:15	03:53:15	03:53:23	03:53:23	03:53:23	03:53:23	03:53:23	03:53:23			03:53:24	03:53:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:09
2	03:53:25	03:53:25	03:53:25	03:53:25	03:53:25	03:53:25			03:53:25	03:53:25	03:53:25	03:53:25	03:53:32	03:53:32	03:53:32	03:53:32	03:53:32	03:53:32			03:53:33	03:53:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
3	03:53:33	03:53:33	03:53:33	03:53:33	03:53:33	03:53:33			03:53:33	03:53:33	03:53:33	03:53:33	03:53:41	03:53:41	03:53:41	03:53:41	03:53:41	03:53:41			03:53:41	03:53:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
4	03:53:42	03:53:42	03:53:42	03:53:42	03:53:42	03:53:42			03:53:42	03:53:42	03:53:42	03:53:42	03:53:49	03:53:49	03:53:49	03:53:49	03:53:49	03:53:49			03:53:50	03:53:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
5	03:53:50	03:53:50	03:53:50	03:53:50	03:53:50	03:53:50			03:53:50	03:53:50	03:53:50	03:53:50	03:53:57	03:53:57	03:53:57	03:53:57	03:53:57	03:53:57			03:53:57	03:53:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
6	03:53:57	03:53:57	03:53:57	03:53:57	03:53:58	03:53:58			03:53:58	03:53:58	03:53:58	03:53:58	03:54:06	03:54:06	03:54:06	03:54:06	03:54:06	03:54:06			03:54:08	03:54:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:10
7	03:54:08	03:54:08	03:54:08	03:54:08	03:54:08	03:54:08			03:54:08	03:54:08	03:54:08	03:54:08	03:54:16	03:54:16	03:54:16	03:54:16	03:54:16	03:54:16			03:54:17	03:54:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	03:54:17	03:54:17	03:54:17	03:54:17	03:54:17	03:54:17			03:54:17	03:54:17	03:54:17	03:54:17	03:54:25	03:54:25	03:54:25	03:54:25	03:54:25	03:54:25			03:54:26	03:54:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:08
9	03:54:26	03:54:26	03:54:26	03:54:26	03:54:26	03:54:26			03:54:26	03:54:26	03:54:26	03:54:26	03:54:33	03:54:33	03:54:33	03:54:33	03:54:33	03:54:33			03:54:34	03:54:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
10	03:54:34	03:54:34	03:54:34	03:54:34	03:54:34	03:54:34	03:54:34	03:54:34	03:54:34	03:54:34	03:54:34	03:54:34	03:54:43	03:54:43	03:54:43	03:54:43	03:54:43	03:54:43	03:54:43	03:54:43	03:54:43	03:54:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09
11	03:54:44	03:54:44	03:54:44	03:54:44	03:54:44	03:54:44			03:54:44	03:54:44	03:54:44	03:54:44	03:54:51	03:54:51	03:54:51	03:54:51	03:54:51	03:54:51			03:54:52	03:54:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
12	03:54:52	03:54:52	03:54:52	03:54:52	03:54:52	03:54:52			03:54:52	03:54:52	03:54:52	03:54:52	03:55:00	03:55:00	03:55:00	03:55:00	03:55:00	03:55:00			03:55:00	03:55:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:08
13	03:55:00	03:55:00	03:55:00	03:55:00	03:55:00	03:55:00			03:55:00	03:55:00	03:55:00	03:55:00	03:55:07	03:55:07	03:55:07	03:55:07	03:55:07	03:55:07			03:55:08	03:55:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
14	03:55:08	03:55:08	03:55:08	03:55:08	03:55:08	03:55:08			03:55:08	03:55:08	03:55:08	03:55:08	03:55:16	03:55:16	03:55:16	03:55:16	03:55:16	03:55:16			03:55:16	03:55:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
15	03:55:16	03:55:16	03:55:16	03:55:16	03:55:16	03:55:16			03:55:16	03:55:16	03:55:16	03:55:16	03:55:23	03:55:23	03:55:23	03:55:23	03:55:23	03:55:23			03:55:24	03:55:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
16	03:55:24	03:55:24	03:55:24	03:55:24	03:55:24	03:55:24			03:55:24	03:55:24	03:55:25	03:55:25	03:55:32	03:55:32	03:55:32	03:55:32	03:55:32	03:55:32			03:55:32	03:55:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
17	03:55:32	03:55:32	03:55:32	03:55:32	03:55:32	03:55:32			03:55:32	03:55:32	03:55:32	03:55:32	03:55:39	03:55:39	03:55:39	03:55:39	03:55:39	03:55:39			03:55:40	03:55:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
18	03:55:40	03:55:40	03:55:40	03:55:40	03:55:40	03:55:40			03:55:40	03:55:40	03:55:40	03:55:40	03:55:48	03:55:48	03:55:48	03:55:48	03:55:48	03:55:48			03:55:48	03:55:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
19	03:55:48	03:55:48	03:55:48	03:55:48	03:55:48	03:55:48			03:55:48	03:55:48	03:55:48	03:55:48	03:55:55	03:55:55	03:55:55	03:55:55	03:55:55	03:55:55			03:55:56	03:55:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
20	03:55:56	03:55:56	03:55:56	03:55:56	03:55:56	03:55:56	03:55:56	03:55:57	03:55:57	03:55:57	03:55:57	03:55:57	03:56:04	03:56:04	03:56:04	03:56:04	03:56:04	03:56:04	03:56:04	03:56:04	03:56:05	03:56:05		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09
