Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	66.33194444444445	0.0	0.0	0.0
1	66.32027777777778	0.0	0.0	0.0
2	66.32472222222222	0.0	0.0	0.0
3	66.30888888888889	0.0	0.0	0.0
4	66.28805555555556	0.0	0.0	0.0
5	66.27444444444444	0.0	0.0	0.0
6	66.26833333333333	0.0	0.0	0.0
7	66.2538888888889	0.0	0.0	0.0
8	66.25305555555556	0.0	0.0	0.0
9	66.25805555555556	0.0	0.0	0.0
10	66.26194444444444	0.0	0.0	0.0
11	66.25527777777778	0.0	0.0	0.0
12	66.2525	0.0	0.0	0.0
13	66.24111111111111	0.0	0.0	0.0
14	66.24166666666666	0.0	0.0	0.0
15	66.23805555555556	0.0	0.0	0.0
16	66.23	0.0	0.0	0.0
17	66.24833333333333	0.0	0.0	0.0
18	66.23333333333333	0.0	0.0	0.0
19	66.23611111111111	0.0	0.0	0.0
20	66.24472222222222	0.0	0.0	0.0
