Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	4376.8225	0.0	0.0	0.0
1	3772.430277777778	0.0	0.0	0.0
2	3297.2405555555556	0.0	0.0	0.0
3	2900.578611111111	0.0	0.0	0.0
4	2641.4108333333334	0.0	0.0	0.0
5	2402.567777777778	0.0	0.0	0.0
6	2262.0469444444443	0.0	0.0	0.0
7	2102.676111111111	0.0	0.0	0.0
8	2029.236111111111	0.0	0.0	0.0
9	1984.0572222222222	0.0	0.0	0.0
10	1960.2533333333333	0.0	0.0	0.0
11	1940.808888888889	0.0	0.0	0.0
12	1919.1327777777778	0.0	0.0	0.0
13	1918.5569444444445	0.0	0.0	0.0
14	1891.8372222222222	0.0	0.0	0.0
15	1891.3777777777777	0.0	0.0	0.0
16	1900.888888888889	0.0	0.0	0.0
17	1873.1847222222223	0.0	0.0	0.0
18	1876.9363888888888	0.0	0.0	0.0
19	1872.336388888889	0.0	0.0	0.0
20	1874.0013888888889	0.0	0.0	0.0
