ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	126.01356021126173	126.01356021126173	126.01356021126173	126.01356021126173
1	127.8040611441435	127.27055213378358	127.53876194496888	127.80697175615441
2	129.14427867670173	128.14312522859032	128.6532981558965	129.1473527286545
3	130.20324655326903	128.82141525761097	129.53548841988467	130.2065209175862
4	130.89175200391838	129.23786048335143	130.10832997015657	130.896949750294
5	131.52934657518708	129.65160345623573	130.657764517548	131.53754583048416
6	131.90724968411968	129.91821199713206	131.00648477478825	131.92006656977043
7	132.30860157574216	130.21677461551425	131.3824575280441	132.32577973677348
8	132.50927735465825	130.35612976195188	131.57278340988248	132.52451151901764
9	132.62700780644127	130.4179433450375	131.68552616475316	132.64521178612827
10	132.66736739878527	130.4293903480212	131.73750162883374	132.69203460403213
11	132.72474205465437	130.42968232294322	131.77974258434486	132.74163179348682
12	132.79500601541164	130.4687875938155	131.8578990750842	132.81043513471892
13	132.79005016294147	130.4600435876507	131.87255217621828	132.81106269136419
14	132.85509913367449	130.48848779610154	131.93511005558452	132.87544810843843
15	132.86406119393226	130.49500566786202	131.95977435757374	132.88773991330342
16	132.82736003728692	130.47949047118698	131.9569125117898	132.8744811760473
17	132.90937379349052	130.52680926991908	132.0231460670858	132.94092190091837
18	132.8842212070493	130.51150857087853	132.01581681899262	132.92132346601755
19	132.90932623905329	130.54715345367435	132.04903310527317	132.94526759417587
20	132.89664443028113	130.56087563693362	132.05623463402154	132.93140171661767
