Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:09:15	04:09:15	04:09:15			04:09:15	04:09:15	04:09:17	04:09:18	04:09:18	04:09:18	04:09:18	04:09:37	04:09:37	04:09:37	04:09:37	04:09:37	04:09:37			04:09:42	04:09:42		00:00:00		00:00:02	00:00:02	00:00:00	00:00:18	00:00:00	00:00:00		00:00:04	00:00:26
1	04:09:43	04:09:43	04:09:43	04:09:43	04:09:43	04:09:43	04:09:43	04:09:44	04:09:44	04:09:44	04:09:44	04:09:44	04:09:54	04:09:54	04:09:54	04:09:54	04:09:54	04:09:54			04:09:56	04:09:56		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:13
2	04:09:56	04:09:56	04:09:56	04:09:56	04:09:56	04:09:56			04:09:56	04:09:56	04:09:56	04:09:56	04:10:06	04:10:06	04:10:06	04:10:06	04:10:06	04:10:06			04:10:06	04:10:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
3	04:10:06	04:10:06	04:10:06	04:10:06	04:10:07	04:10:07			04:10:07	04:10:07	04:10:07	04:10:07	04:10:15	04:10:15	04:10:15	04:10:15	04:10:15	04:10:15			04:10:15	04:10:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
4	04:10:16	04:10:16	04:10:16	04:10:16	04:10:16	04:10:16			04:10:16	04:10:16	04:10:16	04:10:16	04:10:24	04:10:24	04:10:24	04:10:24	04:10:24	04:10:24			04:10:25	04:10:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
5	04:10:25	04:10:25	04:10:25	04:10:25	04:10:25	04:10:25			04:10:25	04:10:25	04:10:25	04:10:25	04:10:33	04:10:33	04:10:33	04:10:33	04:10:34	04:10:34			04:10:34	04:10:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
6	04:10:34	04:10:34	04:10:34	04:10:34	04:10:34	04:10:34			04:10:34	04:10:34	04:10:35	04:10:35	04:10:43	04:10:43	04:10:43	04:10:43	04:10:43	04:10:43			04:10:44	04:10:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
7	04:10:44	04:10:44	04:10:44	04:10:44	04:10:45	04:10:45			04:10:45	04:10:45	04:10:45	04:10:45	04:10:52	04:10:52	04:10:52	04:10:52	04:10:53	04:10:53			04:10:53	04:10:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	04:10:53	04:10:53	04:10:53	04:10:53	04:10:53	04:10:53			04:10:53	04:10:53	04:10:53	04:10:53	04:11:03	04:11:03	04:11:03	04:11:03	04:11:03	04:11:03			04:11:04	04:11:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
9	04:11:04	04:11:04	04:11:04	04:11:04	04:11:04	04:11:04			04:11:04	04:11:04	04:11:04	04:11:04	04:11:13	04:11:13	04:11:13	04:11:13	04:11:13	04:11:13			04:11:13	04:11:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
10	04:11:13	04:11:13	04:11:13	04:11:13	04:11:14	04:11:14	04:11:14	04:11:15	04:11:15	04:11:15	04:11:15	04:11:15	04:11:31	04:11:31	04:11:31	04:11:31	04:11:31	04:11:31	04:11:31	04:11:31	04:11:33	04:11:33		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:16	00:00:00	00:00:00	00:00:00	00:00:01	00:00:19
11	04:11:33	04:11:33	04:11:33	04:11:33	04:11:33	04:11:33			04:11:33	04:11:33	04:11:33	04:11:33	04:11:43	04:11:43	04:11:43	04:11:43	04:11:43	04:11:43			04:11:44	04:11:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
12	04:11:44	04:11:44	04:11:44	04:11:44	04:11:45	04:11:45			04:11:45	04:11:45	04:11:45	04:11:45	04:11:54	04:11:54	04:11:54	04:11:54	04:11:54	04:11:54			04:11:54	04:11:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
13	04:11:55	04:11:55	04:11:55	04:11:55	04:11:55	04:11:55			04:11:55	04:11:55	04:11:55	04:11:55	04:12:04	04:12:04	04:12:04	04:12:04	04:12:04	04:12:04			04:12:05	04:12:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
14	04:12:05	04:12:05	04:12:05	04:12:05	04:12:05	04:12:05			04:12:05	04:12:05	04:12:05	04:12:05	04:12:13	04:12:13	04:12:13	04:12:13	04:12:13	04:12:13			04:12:14	04:12:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
15	04:12:14	04:12:14	04:12:14	04:12:14	04:12:14	04:12:14			04:12:14	04:12:14	04:12:14	04:12:14	04:12:23	04:12:23	04:12:23	04:12:23	04:12:23	04:12:23			04:12:23	04:12:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
16	04:12:23	04:12:23	04:12:24	04:12:24	04:12:24	04:12:24			04:12:24	04:12:24	04:12:24	04:12:24	04:12:33	04:12:33	04:12:33	04:12:33	04:12:33	04:12:33			04:12:33	04:12:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
