Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	5985.939166666667	0.0	0.0	0.0
1	5301.065833333333	0.0	0.0	0.0
2	4649.389722222222	0.0	0.0	0.0
3	4225.076388888889	0.0	0.0	0.0
4	3839.780277777778	0.0	0.0	0.0
5	3647.9875	0.0	0.0	0.0
6	3435.0461111111113	0.0	0.0	0.0
7	3401.134722222222	0.0	0.0	0.0
8	3246.0183333333334	0.0	0.0	0.0
9	3262.7322222222224	0.0	0.0	0.0
10	3203.326666666667	0.0	0.0	0.0
11	3193.860277777778	0.0	0.0	0.0
12	3157.3811111111113	0.0	0.0	0.0
13	3156.5144444444445	0.0	0.0	0.0
14	3083.3519444444446	0.0	0.0	0.0
15	3118.2922222222223	0.0	0.0	0.0
16	3071.6158333333333	0.0	0.0	0.0
17	3072.360277777778	0.0	0.0	0.0
18	3062.967777777778	0.0	0.0	0.0
19	3059.8544444444447	0.0	0.0	0.0
20	3028.465	0.0	0.0	0.0
