ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	118.89527875069778	118.89527875069778	118.89527875069778	118.89527875069778
1	121.19263131035608	120.29963273792394	120.74800278941316	121.19637284090237
2	123.3472011268985	121.62816881809057	122.50496424910766	123.35008289854355
3	124.84713062772707	122.54482602336556	123.74726643708595	124.87139197175689
4	126.10063361245773	123.25461991497411	124.74996107703114	126.11180599512838
5	126.6540336639806	123.53106571594982	125.21192146558778	126.68991392501823
6	127.36204434770355	124.06222192696418	125.8722202581845	127.41400747747186
7	127.33784390749229	123.87696666612513	125.8169621974326	127.42376873794406
8	127.95675308808754	124.45674865742505	126.4711914254583	128.11246601379452
9	127.80409032794424	124.05022573682353	126.20513465776061	127.9305001813744
10	128.01069997945376	124.38201163643122	126.52178539734969	128.15735253628733
11	127.96754914117167	124.01886442246635	126.31629576896066	128.09003256926692
12	128.1667432930923	124.34144075138822	126.62594866118377	128.2960897018408
13	128.10416207534053	124.0369182514427	126.45247016472398	128.2442461215156
14	128.43574916565694	124.25927239598897	126.7380107438149	128.51799414169298
15	128.2026369674221	124.0890794047084	126.57709416880202	128.319183724422
16	128.4365422978442	124.2822312035644	126.80216503711806	128.56863814145095
17	128.40270245550673	124.1605807637504	126.73421477366855	128.53571311896368
18	128.4610177213702	124.25324931352407	126.83347502260145	128.59617787894456
19	128.40705315662922	124.20639122991967	126.7956597387536	128.54336952305962
20	128.55879917110877	124.27536230108115	126.88373085005172	128.64677265716517
