Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:14:26	04:14:26	04:14:26			04:14:26	04:14:26	04:14:28	04:14:28	04:14:28	04:14:28	04:14:28	04:14:47	04:14:47	04:14:47	04:14:47	04:14:47	04:14:47			04:14:50	04:14:50		00:00:00		00:00:01	00:00:02	00:00:00	00:00:18	00:00:00	00:00:00		00:00:03	00:00:24
1	04:14:51	04:14:51	04:14:51	04:14:51	04:14:51	04:14:51	04:14:51	04:14:53	04:14:53	04:14:53	04:14:53	04:14:53	04:15:05	04:15:05	04:15:05	04:15:05	04:15:05	04:15:05			04:15:07	04:15:07		00:00:00	00:00:00	00:00:01	00:00:01	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:15
2	04:15:07	04:15:07	04:15:07	04:15:07	04:15:07	04:15:07			04:15:07	04:15:07	04:15:07	04:15:07	04:15:17	04:15:17	04:15:17	04:15:17	04:15:17	04:15:17			04:15:18	04:15:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
3	04:15:19	04:15:19	04:15:19	04:15:19	04:15:19	04:15:19			04:15:19	04:15:19	04:15:19	04:15:19	04:15:28	04:15:28	04:15:28	04:15:28	04:15:28	04:15:28			04:15:29	04:15:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:10
4	04:15:29	04:15:29	04:15:29	04:15:29	04:15:30	04:15:30			04:15:30	04:15:30	04:15:30	04:15:30	04:15:41	04:15:41	04:15:41	04:15:41	04:15:41	04:15:41			04:15:42	04:15:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
5	04:15:42	04:15:42	04:15:42	04:15:42	04:15:43	04:15:43			04:15:43	04:15:43	04:15:43	04:15:43	04:15:53	04:15:53	04:15:53	04:15:53	04:15:53	04:15:53			04:15:53	04:15:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
6	04:15:54	04:15:54	04:15:54	04:15:54	04:15:54	04:15:54			04:15:54	04:15:54	04:15:54	04:15:54	04:16:03	04:16:03	04:16:03	04:16:03	04:16:03	04:16:03			04:16:04	04:16:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
7	04:16:04	04:16:04	04:16:04	04:16:04	04:16:04	04:16:04			04:16:04	04:16:04	04:16:04	04:16:04	04:16:13	04:16:13	04:16:13	04:16:13	04:16:13	04:16:13			04:16:14	04:16:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
8	04:16:14	04:16:14	04:16:14	04:16:14	04:16:14	04:16:14			04:16:14	04:16:14	04:16:14	04:16:14	04:16:24	04:16:24	04:16:24	04:16:24	04:16:24	04:16:24			04:16:25	04:16:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
9	04:16:25	04:16:25	04:16:25	04:16:25	04:16:25	04:16:25			04:16:25	04:16:25	04:16:25	04:16:25	04:16:35	04:16:35	04:16:35	04:16:35	04:16:35	04:16:35			04:16:35	04:16:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
