Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	94.53527777777778	0.0	0.0	0.0
1	94.52361111111111	0.0	0.0	0.0
2	94.51194444444444	0.0	0.0	0.0
3	94.5	0.0	0.0	0.0
4	94.49861111111112	0.0	0.0	0.0
5	94.49638888888889	0.0	0.0	0.0
6	94.48527777777778	0.0	0.0	0.0
7	94.48611111111111	0.0	0.0	0.0
8	94.48583333333333	0.0	0.0	0.0
9	94.48472222222222	0.0	0.0	0.0
10	94.475	0.0	0.0	0.0
11	94.46972222222222	0.0	0.0	0.0
12	94.4675	0.0	0.0	0.0
13	94.47222222222223	0.0	0.0	0.0
14	94.46888888888888	0.0	0.0	0.0
15	94.46416666666667	0.0	0.0	0.0
16	94.47166666666666	0.0	0.0	0.0
17	94.47027777777778	0.0	0.0	0.0
18	94.46972222222222	0.0	0.0	0.0
19	94.4675	0.0	0.0	0.0
20	94.46916666666667	0.0	0.0	0.0
