ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	133.07920582241073	133.07920582241073	133.07920582241073	133.07920582241073
1	133.0794190516659	133.07930916115592	133.0794541630276	133.07959916489935
2	133.0796654054386	133.07923141400275	133.07956304193476	133.0798867209097
3	133.07993075211937	133.07941053175492	133.07974072556158	133.08007340307492
4	133.0799624405306	133.0792871158747	133.07973809416214	133.08017787454347
5	133.08000389947668	133.0791048582825	133.07963160645627	133.0802134232708
6	133.0802369061977	133.0791361048208	133.07979782950588	133.08048284933247
7	133.08023971664778	133.07897507153282	133.0797590346834	133.0804579340405
8	133.08022978879026	133.07894377656766	133.07972830025216	133.08045669371117
9	133.08027374526725	133.07876059408295	133.07965542359284	133.08041355515786
10	133.08048203858837	133.0787327305576	133.07969185581754	133.08061297080363
11	133.08058277398302	133.07880420484352	133.07976705176748	133.08071907715387
12	133.08063160667524	133.0787258135217	133.07974447127856	133.08079743844215
13	133.08052798158803	133.0786584725537	133.07965239458252	133.08065430458583
14	133.08061732204663	133.0786507777663	133.07968965487632	133.0807519240284
15	133.0806988410118	133.07853292143707	133.07969712623228	133.08095529807892
16	133.08055397074503	133.07837925140316	133.07949082926055	133.08067418277184
17	133.08057058682525	133.07844555797823	133.07955580170838	133.0807680462439
18	133.08058724450797	133.07836019486905	133.0795323140813	133.08081258259324
19	133.0806319695617	133.07835344919653	133.07951303062012	133.0807789995041
20	133.08059703502687	133.07832540478535	133.07949023497912	133.08083115147184
