Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:35:41	04:35:41	04:35:41			04:35:41	04:35:41	04:35:42	04:35:42	04:35:42	04:35:42	04:35:42	04:35:53	04:35:53	04:35:53	04:35:53	04:35:53	04:35:53			04:35:55	04:35:55		00:00:00		00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
1	04:35:55	04:35:55	04:35:55	04:35:55	04:35:55	04:35:55	04:35:55	04:35:56	04:35:56	04:35:56	04:35:56	04:35:56	04:36:03	04:36:03	04:36:03	04:36:03	04:36:03	04:36:03			04:36:05	04:36:05		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:01	00:00:09
2	04:36:06	04:36:06	04:36:06	04:36:06	04:36:06	04:36:06			04:36:06	04:36:06	04:36:06	04:36:06	04:36:13	04:36:13	04:36:13	04:36:13	04:36:13	04:36:13			04:36:14	04:36:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
3	04:36:14	04:36:14	04:36:14	04:36:14	04:36:14	04:36:14			04:36:14	04:36:14	04:36:14	04:36:14	04:36:22	04:36:22	04:36:22	04:36:22	04:36:22	04:36:22			04:36:22	04:36:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
4	04:36:22	04:36:22	04:36:22	04:36:22	04:36:22	04:36:22			04:36:22	04:36:22	04:36:22	04:36:22	04:36:30	04:36:30	04:36:30	04:36:30	04:36:30	04:36:30			04:36:30	04:36:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
5	04:36:30	04:36:30	04:36:30	04:36:30	04:36:30	04:36:30			04:36:30	04:36:30	04:36:30	04:36:30	04:36:37	04:36:37	04:36:37	04:36:37	04:36:37	04:36:37			04:36:38	04:36:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
6	04:36:38	04:36:38	04:36:38	04:36:38	04:36:38	04:36:38			04:36:38	04:36:38	04:36:38	04:36:38	04:36:45	04:36:45	04:36:45	04:36:45	04:36:45	04:36:45			04:36:46	04:36:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
7	04:36:46	04:36:46	04:36:46	04:36:46	04:36:46	04:36:46			04:36:46	04:36:46	04:36:46	04:36:46	04:36:54	04:36:54	04:36:54	04:36:54	04:36:54	04:36:54			04:36:55	04:36:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
8	04:36:55	04:36:55	04:36:55	04:36:55	04:36:55	04:36:55			04:36:55	04:36:55	04:36:55	04:36:55	04:37:05	04:37:05	04:37:05	04:37:05	04:37:05	04:37:05			04:37:06	04:37:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
9	04:37:06	04:37:06	04:37:06	04:37:06	04:37:06	04:37:06			04:37:06	04:37:06	04:37:06	04:37:06	04:37:14	04:37:14	04:37:14	04:37:14	04:37:14	04:37:14			04:37:15	04:37:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
