ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2240.738330743333	2240.738330743333	
1	2240.650669281007	2240.650669281007	
2	2239.8905021699843	2239.8905021699843	
3	2241.1304471440426	2241.1304471440426	
4	2240.205948792374	2240.205948792374	
5	2239.9846992038856	2239.9846992038856	
6	2239.7461333860338	2239.7461333860338	
7	2240.2790979665524	2240.2790979665524	
8	2240.263448116855	2240.263448116855	
9	2239.83481166983	2239.83481166983	
10	2239.683463083112	2239.683463083112	
11	2239.4128461767086	2239.4128461767086	
12	2239.340083465675	2239.340083465675	
13	2239.5814823984915	2239.5814823984915	
14	2239.5114661291796	2239.5114661291796	
15	2239.235438924023	2239.235438924023	
16	2240.087908463461	2240.087908463461	
17	2239.520602958078	2239.520602958078	
18	2239.582879936186	2239.582879936186	
19	2239.6411236367867	2239.6411236367867	
20	2239.3919544240925	2239.3919544240925	
