Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	100.37666666666667	0.0	0.0	0.0
1	100.37	0.0	0.0	0.0
2	100.3575	0.0	0.0	0.0
3	100.35027777777778	0.0	0.0	0.0
4	100.35166666666667	0.0	0.0	0.0
5	100.34277777777778	0.0	0.0	0.0
6	100.33722222222222	0.0	0.0	0.0
7	100.33777777777777	0.0	0.0	0.0
8	100.32805555555555	0.0	0.0	0.0
9	100.32722222222222	0.0	0.0	0.0
10	100.32083333333334	0.0	0.0	0.0
11	100.32	0.0	0.0	0.0
12	100.33166666666666	0.0	0.0	0.0
13	100.32055555555556	0.0	0.0	0.0
14	100.3236111111111	0.0	0.0	0.0
15	100.31527777777778	0.0	0.0	0.0
16	100.31055555555555	0.0	0.0	0.0
17	100.31416666666667	0.0	0.0	0.0
18	100.315	0.0	0.0	0.0
19	100.32	0.0	0.0	0.0
20	100.315	0.0	0.0	0.0
