ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	132.98018486057873	132.98018486057873	132.98018486057873	132.98018486057873
1	132.9803267255831	132.98011054324914	132.98025579627594	132.98040104930274
2	132.98072051416494	132.9802017700194	132.9806549227277	132.98107076287224
3	132.98085784030803	132.97997843983643	132.98051584836	132.9809623613004
4	132.98081402674921	132.97981393117365	132.98045504898585	132.9810072104002
5	132.98092599313932	132.97979610281166	132.9805124415618	132.98121738568574
6	132.98106644237654	132.97962847875579	132.98052579763572	132.98137543910994
7	132.98108552130674	132.9795108767346	132.9804103798098	132.98124167671642
8	132.9814031164156	132.9795844627779	132.98061768925726	132.98169918686943
9	132.98128562488708	132.9794356931209	132.98041586778353	132.9814597637594
10	132.98149890312652	132.97955332589996	132.98060077581002	132.98176649508332
11	132.98143633728932	132.97935911478305	132.9803816500339	132.98151614956763
12	132.9811417746199	132.97925135304348	132.98031678015502	132.9814866264295
13	132.9814330445124	132.9791658824232	132.98029707298824	132.9815653895132
14	132.98136124003315	132.97908371752268	132.9802985922689	132.98156422642782
15	132.98150374761562	132.9790263048156	132.98031879909857	132.981829690579
16	132.98160057394483	132.97891143845862	132.98028369291796	132.98187955203542
17	132.98151611933207	132.9790244886424	132.9802827925098	132.9817249069018
18	132.9814966043714	132.97886625111983	132.98023233776468	132.98175819385455
19	132.98141061997129	132.97878195258488	132.98011762604952	132.98174348976528
20	132.9815731100672	132.97872040308096	132.98014474727415	132.98190286704573
