Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	04:31:27	04:31:27	04:31:27			04:31:27	04:31:27	04:31:27	04:31:27	04:31:27	04:31:28	04:31:28	04:31:37	04:31:37	04:31:37	04:31:37	04:31:37	04:31:37			04:31:39	04:31:39		00:00:00		00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:11
1	04:31:39	04:31:39	04:31:39	04:31:39	04:31:40	04:31:40	04:31:40	04:31:40	04:31:40	04:31:40	04:31:40	04:31:40	04:31:47	04:31:47	04:31:47	04:31:47	04:31:47	04:31:47			04:31:50	04:31:50		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:02	00:00:10
2	04:31:50	04:31:50	04:31:50	04:31:50	04:31:50	04:31:50			04:31:50	04:31:50	04:31:50	04:31:50	04:31:59	04:31:59	04:31:59	04:31:59	04:31:59	04:31:59			04:32:00	04:32:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:10
3	04:32:01	04:32:01	04:32:01	04:32:01	04:32:01	04:32:01			04:32:01	04:32:01	04:32:01	04:32:01	04:32:11	04:32:11	04:32:11	04:32:11	04:32:11	04:32:11			04:32:14	04:32:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:02	00:00:13
4	04:32:14	04:32:14	04:32:14	04:32:14	04:32:14	04:32:14			04:32:14	04:32:14	04:32:14	04:32:14	04:32:22	04:32:22	04:32:23	04:32:23	04:32:23	04:32:23			04:32:23	04:32:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
5	04:32:24	04:32:24	04:32:24	04:32:24	04:32:24	04:32:24			04:32:24	04:32:24	04:32:24	04:32:24	04:32:31	04:32:31	04:32:31	04:32:31	04:32:31	04:32:31			04:32:32	04:32:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
6	04:32:32	04:32:32	04:32:32	04:32:32	04:32:32	04:32:32			04:32:32	04:32:32	04:32:32	04:32:32	04:32:39	04:32:39	04:32:39	04:32:39	04:32:39	04:32:39			04:32:40	04:32:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
7	04:32:40	04:32:40	04:32:40	04:32:40	04:32:40	04:32:40			04:32:40	04:32:40	04:32:40	04:32:40	04:32:47	04:32:47	04:32:47	04:32:47	04:32:47	04:32:47			04:32:47	04:32:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
8	04:32:47	04:32:47	04:32:47	04:32:47	04:32:47	04:32:47			04:32:47	04:32:47	04:32:47	04:32:47	04:32:54	04:32:54	04:32:54	04:32:54	04:32:54	04:32:54			04:32:55	04:32:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
9	04:32:55	04:32:55	04:32:55	04:32:55	04:32:55	04:32:55			04:32:55	04:32:55	04:32:55	04:32:55	04:33:02	04:33:02	04:33:02	04:33:02	04:33:02	04:33:02			04:33:02	04:33:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
10	04:33:02	04:33:02	04:33:02	04:33:02	04:33:02	04:33:02	04:33:02	04:33:03	04:33:03	04:33:03	04:33:03	04:33:03	04:33:10	04:33:10	04:33:10	04:33:10	04:33:10	04:33:10	04:33:10	04:33:10	04:33:10	04:33:10		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:00	00:00:07
11	04:33:10	04:33:10	04:33:10	04:33:10	04:33:10	04:33:10			04:33:10	04:33:10	04:33:10	04:33:10	04:33:17	04:33:17	04:33:17	04:33:17	04:33:17	04:33:17			04:33:18	04:33:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
12	04:33:18	04:33:18	04:33:18	04:33:18	04:33:18	04:33:18			04:33:18	04:33:18	04:33:18	04:33:18	04:33:25	04:33:25	04:33:25	04:33:25	04:33:25	04:33:25			04:33:25	04:33:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
13	04:33:25	04:33:25	04:33:25	04:33:25	04:33:25	04:33:25			04:33:25	04:33:25	04:33:26	04:33:26	04:33:32	04:33:32	04:33:32	04:33:32	04:33:32	04:33:32			04:33:33	04:33:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
14	04:33:33	04:33:33	04:33:33	04:33:33	04:33:33	04:33:33			04:33:33	04:33:33	04:33:33	04:33:33	04:33:40	04:33:40	04:33:40	04:33:40	04:33:40	04:33:40			04:33:40	04:33:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
